jiscode	name	namekana	building	zipcode	address	tel	source	lat	lon	note
1213	苫小牧市	とまこまいし	苫小牧市役所	053-8722	苫小牧市旭町4-5-6	0144-32-6111	数値地図	42.634094	141.605503	
1214	稚内市	わっかないし	稚内市役所	097-8686	稚内市中央3-13-15	0162-23-6161	数値地図	45.415675	141.673082	
1215	美唄市	びばいし	美唄市役所	072-8660	美唄市西3条南1-1-1	0126-62-3131	数値地図	43.332951	141.853986	
1216	芦別市	あしべつし	芦別市役所	075-8711	芦別市北1条東1-3	0124-22-2111	数値地図	43.51821	142.189552	
1217	江別市	えべつし	江別市役所	067-8674	江別市高砂町6	011-382-4141	数値地図	43.103666	141.536103	
1218	赤平市	あかびらし	赤平市役所	079-1192	赤平市泉町4-1	0125-32-2211	数値地図	43.558039	142.044223	
1219	紋別市	もんべつし	紋別市役所	094-8707	紋別市幸町2-1-18	0158-24-2111	数値地図	44.356332	143.354279	
1220	士別市	しべつし	士別市役所	095-8686	士別市東6条4-1	0165-23-3121	数値地図	44.178626	142.400182	
1221	名寄市	なよろし	名寄市役所	096-8686	名寄市大通南1-1	01654-3-2111	数値地図	44.355924	142.463134	
1222	三笠市	みかさし	三笠市役所	068-2192	三笠市幸町2	01267-2-3181	数値地図	43.245622	141.875342	
1223	根室市	ねむろし	根室市役所	087-8711	根室市常盤町2-27	0153-23-6111	数値地図	43.330036	145.582903	
1224	千歳市	ちとせし	千歳市役所	066-8686	千歳市東雲町2-34	0123-24-3131	数値地図	42.821124	141.651139	
1225	滝川市	たきかわし	滝川市役所	073-8686	滝川市大町1-2-15	0125-23-1234	数値地図	43.557753	141.910371	
1226	砂川市	すながわし	砂川市役所	073-0195	砂川市西6条北3-1-1	0125-54-2121	数値地図	43.494846	141.903465	
1227	歌志内市	うたしないし	歌志内市役所	073-0492	歌志内市字本町5	0125-42-3211	数値地図	43.521682	142.035353	
1228	深川市	ふかがわし	深川市役所	074-8650	深川市2条17-17	0164-26-2228	数値地図	43.723184	142.053528	
1229	富良野市	ふらのし	富良野市役所	076-8555	富良野市弥生町1-1	0167-39-2300	数値地図	43.342024	142.383104	
1230	登別市	のぼりべつし	登別市役所	059-8701	登別市中央町6-11	0143-85-2111	数値地図	42.412735	141.106556	
1231	恵庭市	えにわし	恵庭市役所	061-1498	恵庭市京町1	0123-33-3131	数値地図	42.882592	141.577799	
1233	伊達市	だてし	伊達市役所	052-0024	伊達市鹿島町20-1	0142-23-3331	数値地図	42.471898	140.864702	
1234	北広島市	きたひろしまし	北広島市役所	061-1192	北広島市中央4-2-1	011-372-3311	数値地図	42.985663	141.563625	
1235	石狩市	いしかりし	石狩市役所	061-3292	石狩市花川北6条1-30-2	0133-72-3111	数値地図	43.171365	141.315514	
1236	北斗市	ほくとし	北斗市役所	049-0192	北斗市中央1-3-10	0138-73-3111	数値地図	41.824174	140.653067	
1303	当別町	とうべつちょう	当別町役場	061-0292	石狩郡当別町白樺町58-9	0133-23-2330	数値地図	43.223637	141.517003	
1304	新篠津村	しんしのつむら	新篠津村役場	068-1192	石狩郡新篠津村第47線北13	0126-57-2111	数値地図	43.225368	141.649247	
1331	松前町	まつまえちょう	松前町役場	049-1592	松前郡松前町字福山248番地1	0139-42-2275	数値地図	41.429981	140.110403	
1332	福島町	ふくしまちょう	福島町役場	049-1392	松前郡福島町字福島820	0139-47-3001	数値地図	41.483783	140.251315	
1333	知内町	しりうちちょう	知内町役場	049-1103	上磯郡知内町字重内21-1	01392-5-6161	数値地図	41.598377	140.418861	
1334	木古内町	きこないちょう	木古内町役場	049-0422	上磯郡木古内町字本町218	01392-2-3131	数値地図	41.678332	140.437635	
1337	七飯町	ななえちょう	七飯町役場	041-1192	亀田郡七飯町本町6丁目1-1	0138-65-2511	数値地図	41.895711	140.694405	
1343	鹿部町	しかべちょう	鹿部町役場	041-1498	茅部郡鹿部町字宮浜299	01372-7-2111	数値地図	42.038567	140.815907	
1345	森町	もりまち	森町役場	049-2393	茅部郡森町字御幸町144-1	01374-2-2181	数値地図	42.104992	140.576446	
1346	八雲町	やくもちょう	八雲町役場	049-3192	二海郡八雲町住初町138	0137-62-2111	数値地図	42.255918	140.265224	
1347	長万部町	おしゃまんべちょう	長万部町役場	049-3592	山越郡長万部町字長万部453-1	01377-2-2000	数値地図	42.513488	140.380344	
1361	江差町	えさしちょう	江差町役場	043-8560	檜山郡江差町字中歌町193-1	0139-52-1020	数値地図	41.869244	140.12756	
1362	上ノ国町	かみのくにちょう	上ノ国町役場	049-0698	檜山郡上ノ国町字大留100	0139-55-2311	数値地図	41.801042	140.121398	
1363	厚沢部町	あっさぶちょう	厚沢部町役場	043-1113	檜山郡厚沢部町新町207	0139-64-3311	数値地図	41.920895	140.225475	
1364	乙部町	おとべちょう	乙部町役場	043-0103	爾志郡乙部町字緑町388	0139-62-2311	数値地図	41.968504	140.13546	
1367	奥尻町	おくしりちょう	奥尻町役場	043-1498	奥尻郡奥尻町字奥尻806	01397-2-3111	数値地図	42.17226	139.514121	
1370	今金町	いまかねちょう	今金町役場	049-4393	瀬棚郡今金町字今金48-1	0137-82-0111	数値地図	42.429373	140.008766	
1371	せたな町	せたなちょう	せたな町役場	049-4592	久遠郡せたな町北檜山区徳島63-1	0137-84-5111	数値地図	42.417145	139.882999	
1391	島牧村	しままきむら	島牧村役場	048-0621	島牧郡島牧村字泊83-1	0136-75-6211	数値地図	42.700471	140.061454	
1392	寿都町	すっつちょう	寿都町役場	048-0406	寿都郡寿都町字渡島町140-1	0136-62-2511	数値地図	42.790984	140.228891	
1393	黒松内町	くろまつないちょう	黒松内町役場	048-0192	寿都郡黒松内町字黒松内302-1	0136-72-3311	数値地図	42.667788	140.307739	
1394	蘭越町	らんこしちょう	蘭越町役場	048-1392	磯谷郡蘭越町蘭越町258-5	0136-57-5111	数値地図	42.809205	140.528346	
1395	ニセコ町	にせこちょう	ニセコ町役場	048-1595	虻田郡ニセコ町字富士見47	0136-44-2121	数値地図	42.804788	140.68754	
1396	真狩村	まっかりむら	真狩村役場	048-1631	虻田郡真狩村字真狩118	0136-45-2121	数値地図	42.762955	140.803669	
1397	留寿都村	るすつむら	留寿都村役場	048-1731	虻田郡留寿都村字留寿都175	0136-46-3131	数値地図	42.737263	140.875574	
1398	喜茂別町	きもべつちょう	喜茂別町役場	044-0292	虻田郡喜茂別町字喜茂別123	0136-33-2211	数値地図	42.795439	140.934532	
1399	京極町	きょうごくちょう	京極町役場	044-0101	虻田郡京極町字京極527	0136-42-2111	数値地図	42.858216	140.883999	
1400	倶知安町	くっちゃんちょう	倶知安町役場	044-0001	虻田郡倶知安町北1条東3-3	0136-22-1121	数値地図	42.901752	140.758878	
1401	共和町	きょうわちょう	共和町役場	048-2292	岩内郡共和町南幌似38-2	0135-73-2011	数値地図	42.980407	140.611175	
1402	岩内町	いわないちょう	岩内町役場	045-8555	岩内郡岩内町字高台134-1	0135-62-1011	地理院地図	42.979761	140.514773	
1403	泊村	とまりむら	泊村役場	045-0202	古宇郡泊村大字茅沼村字臼別191-7	0135-75-2021	数値地図	43.063212	140.498857	
1404	神恵内村	かもえないむら	神恵内村役場	045-0301	古宇郡神恵内村大字神恵内村81-4	0135-76-5011	数値地図	43.143791	140.430817	
1405	積丹町	しゃこたんちょう	積丹町役場	046-0292	積丹郡積丹町大字美国町字船澗48	0135-44-2111	数値地図	43.29871	140.598001	
1406	古平町	ふるびらちょう	古平町役場	046-0192	古平郡古平町大字浜町40-4	0135-42-2181	数値地図	43.265353	140.639078	
1407	仁木町	にきちょう	仁木町役場	048-2492	余市郡仁木町西町1-36-1	0135-32-2511	数値地図	43.151675	140.766168	
1408	余市町	よいちちょう	余市町役場	046-8546	余市郡余市町朝日町26	0135-21-2111	数値地図	43.195343	140.783542	
1409	赤井川村	あかいがわむら	赤井川村役場	046-0592	余市郡赤井川村字赤井川74-2	0135-34-6211	数値地図	43.083479	140.81364	
1423	南幌町	なんぽろちょう	南幌町役場	069-0292	空知郡南幌町栄町3-2-1	011-378-2121	数値地図	43.063739	141.65033	
1424	奈井江町	ないえちょう	奈井江町役場	079-0392	空知郡奈井江町字奈井江11	0125-65-2111	数値地図	43.425353	141.882816	
1425	上砂川町	かみすながわちょう	上砂川町役場	073-0292	空知郡上砂川町字上砂川町40-10	0125-62-2011	数値地図画像	43.482538	141.984064	
1427	由仁町	ゆにちょう	由仁町役場	069-1292	夕張郡由仁町新光200	0123-83-2111	数値地図	42.999598	141.790309	
1428	長沼町	ながぬまちょう	長沼町役場	069-1392	夕張郡長沼町中央北1-1-1	0123-88-2111	数値地図	43.01034	141.695367	
1429	栗山町	くりやまちょう	栗山町役場	069-1512	夕張郡栗山町松風3-252	0123-72-1111	数値地図	43.05629	141.784099	
1430	月形町	つきがたちょう	月形町役場	061-0592	樺戸郡月形町1219	0126-53-2321	数値地図	43.338397	141.669604	
1431	浦臼町	うらうすちょう	浦臼町役場	061-0692	樺戸郡浦臼町字ウラウスナイ183-15	0125-68-2111	数値地図	43.430363	141.818727	
1432	新十津川町	しんとつかわちょう	新十津川町役場	073-1103	樺戸郡新十津川町字中央301-1	0125-76-2131	数値地図	43.5485	141.877009	
1433	妹背牛町	もせうしちょう	妹背牛町役場	079-0592	雨竜郡妹背牛町字妹背牛5200	0164-32-2411	数値地図	43.700093	141.961606	
1434	秩父別町	ちっぷべつちょう	秩父別町役場	078-2192	雨竜郡秩父別町4101	0164-33-2111	数値地図	43.767	141.957896	
1436	雨竜町	うりゅうちょう	雨竜町役場	078-2692	雨竜郡雨竜町字フシコウリウ104	0125-77-2211	数値地図	43.643943	141.889036	
1437	北竜町	ほくりゅうちょう	北竜町役場	078-2512	雨竜郡北竜町字和11-1	0164-34-2111	数値地図	43.731426	141.879409	
1438	沼田町	ぬまたちょう	沼田町役場	078-2202	雨竜郡沼田町南1条3-6-53	0164-35-2111	数値地図	43.80674	141.933817	
1452	鷹栖町	たかすちょう	鷹栖町役場	071-1292	上川郡鷹栖町南1条3丁目5番1号	0166-87-2111	数値地図	43.843321	142.354382	
1453	東神楽町	ひがしかぐらちょう	東神楽町役場	071-1592	上川郡東神楽町南1条西1丁目3-2	0166-83-2111	数値地図	43.696303	142.451571	
1454	当麻町	とうまちょう	当麻町役場	078-1393	上川郡当麻町3条東2丁目11-1	0166-84-2111	数値地図	43.828201	142.508388	
1455	比布町	ぴっぷちょう	比布町役場	078-0392	上川郡比布町北町1-2-1	0166-85-2111	数値地図	43.875021	142.477699	
1456	愛別町	あいべつちょう	愛別町役場	078-1492	上川郡愛別町字本町179	01658-6-5111	数値地図	43.906679	142.577822	
1457	上川町	かみかわちょう	上川町役場	078-1753	上川郡上川町南町180	01658-2-1211	数値地図	43.847128	142.770459	
1458	東川町	ひがしかわちょう	東川町役場	071-1492	上川郡東川町東町1-16-1	0166-82-2111	数値地図	43.698877	142.510128	
1459	美瑛町	びえいちょう	美瑛町役場	071-0292	上川郡美瑛町本町4-6-1	0166-92-1111	数値地図	43.588279	142.467055	
1460	上富良野町	かみふらのちょう	上富良野町役場	071-0596	空知郡上富良野町大町2-2-11	0167-45-6400	数値地図	43.455614	142.467112	
1461	中富良野町	なかふらのちょう	中富良野町役場	071-0795	空知郡中富良野町本町9-1	0167-44-2122	数値地図画像	43.405576	142.425034	
1462	南富良野町	みなみふらのちょう	南富良野町役場	079-2402	空知郡南富良野町字幾寅867	0167-52-2112	数値地図	43.164088	142.568522	
1463	占冠村	しむかっぷむら	占冠村役場	079-2201	勇払郡占冠村字中央	0167-56-2121	数値地図	42.979836	142.398526	
1464	和寒町	わっさむちょう	和寒町役場	098-0192	上川郡和寒町字西町120	0165-32-2421	数値地図	44.023119	142.413383	
1465	剣淵町	けんぶちちょう	剣淵町役場	098-0392	上川郡剣淵町仲町37-1	0165-34-2121	数値地図画像	44.095746	142.361007	
1468	下川町	しもかわちょう	下川町役場	098-1206	上川郡下川町幸町63	01655-4-2511	数値地図	44.302576	142.635219	
1469	美深町	びふかちょう	美深町役場	098-2252	中川郡美深町字西町18	01656-2-1611	数値地図	44.480994	142.342963	
1470	音威子府村	おといねっぷむら	音威子府村役場	098-2501	中川郡音威子府村字音威子府444-1	01656-5-3311	数値地図	44.725096	142.262458	
1471	中川町	なかがわちょう	中川町役場	098-2892	中川郡中川町字中川337	01656-7-2811	数値地図	44.811488	142.071409	
1472	幌加内町	ほろかないちょう	幌加内町役場	074-0492	雨竜郡幌加内町字幌加内4699	0165-35-2121	数値地図	44.009812	142.153828	
1481	増毛町	ましけちょう	増毛町役場	077-0292	増毛郡増毛町弁天町3-61	0164-53-1111	数値地図	43.856063	141.524978	
1482	小平町	おびらちょう	小平町役場	078-3392	留萌郡小平町字小平町216	0164-56-2111	数値地図	44.015141	141.662828	
1483	苫前町	とままえちょう	苫前町役場	078-3792	苫前郡苫前町字旭37-1	0164-64-2211	数値地図	44.306086	141.652932	
1484	羽幌町	はぼろちょう	羽幌町役場	078-4198	苫前郡羽幌町南町1-1	0164-62-1211	数値地図	44.36061	141.697249	
1485	初山別村	しょさんべつむら	初山別村役場	078-4492	苫前郡初山別村字初山別96-1	0164-67-2211	数値地図	44.532149	141.766342	
1486	遠別町	えんべつちょう	遠別町役場	098-3543	天塩郡遠別町字本町3-37	01632-7-2111	数値地図	44.722462	141.792322	
1487	天塩町	てしおちょう	天塩町役場	098-3398	天塩郡天塩町新栄通8丁目	01632-2-1001	数値地図	44.888121	141.745324	
1511	猿払村	さるふつむら	猿払村役場	098-6232	宗谷郡猿払村鬼志別西町172-1	01635-2-3131	数値地図	45.33061	142.108945	
1512	浜頓別町	はまとんべつちょう	浜頓別町役場	098-5792	枝幸郡浜頓別町中央南1	01634-2-2345	数値地図画像	45.123716	142.35964	
1513	中頓別町	なかとんべつちょう	中頓別町役場	098-5595	枝幸郡中頓別町字中頓別172-6	01634-6-1111	数値地図画像	44.96971	142.286705	
1514	枝幸町	えさしちょう	枝幸町役場	098-5892	枝幸郡枝幸町本町916	0163-62-1234	数値地図	44.9387	142.581405	
1516	豊富町	とよとみちょう	豊富町役場	098-4110	天塩郡豊富町大通6丁目	0162-82-1001	数値地図画像	45.102847	141.777508	
1517	礼文町	れぶんちょう	礼文町役場	097-1201	礼文郡礼文町大字香深村字トンナイ558-5	0163-86-1001	数値地図	45.303062	141.047717	
1518	利尻町	りしりちょう	利尻町役場	097-0401	利尻郡利尻町沓形字緑町14-1	0163-84-2345	数値地図	45.187041	141.139597	
1519	利尻富士町	りしりふじちょう	利尻富士町役場	097-0101	利尻郡利尻富士町鴛泊字富士野6	0163-82-1111	数値地図	45.247459	141.214719	
1520	幌延町	ほろのべちょう	幌延町役場	098-3207	天塩郡幌延町宮園町1番地1	01632-5-1111	数値地図	45.017635	141.849386	
1543	美幌町	びほろちょう	美幌町役場	092-8650	網走郡美幌町字東2条北2-25	0152-73-1111	数値地図	43.823721	144.107151	
1544	津別町	つべつちょう	津別町役場	092-0292	網走郡津別町字幸町41	0152-76-2151	数値地図	43.706316	144.024803	
1545	斜里町	しゃりちょう	斜里町役場	099-4192	斜里郡斜里町本町12	0152-23-3131	数値地図	43.911441	144.670713	
1546	清里町	きよさとちょう	清里町役場	099-4492	斜里郡清里町羽衣町13	0152-25-2131	数値地図	43.835224	144.594582	
1547	小清水町	こしみずちょう	小清水町役場	099-3698	斜里郡小清水町元町2-1-1	0152-62-2311	数値地図	43.856679	144.462114	
1549	訓子府町	くんねっぷちょう	訓子府町役場	099-1498	常呂郡訓子府町東町398	0157-47-2111	数値地図	43.725328	143.741665	
1550	置戸町	おけとちょう	置戸町役場	099-1100	常呂郡置戸町字置戸181	0157-52-3311	数値地図	43.676328	143.586402	
1552	佐呂間町	さろまちょう	佐呂間町役場	093-0592	常呂郡佐呂間町字永代町3-1	01587-2-1211	数値地図	44.017859	143.774714	
1555	遠軽町	えんがるちょう	遠軽町役場	099-0492	紋別郡遠軽町1条通北3-1-1	0158-42-4811	数値地図	44.061947	143.527726	
1559	湧別町	ゆうべつちょう	湧別町役場	099-6592	紋別郡湧別町上湧別屯田市街地318	01586-2-2111	数値地図	44.151465	143.572919	
1560	滝上町	たきのうえちょう	滝上町役場	099-5692	紋別郡滝上町字滝ノ上市街地4条通2-1	0158-29-2111	数値地図	44.19227	143.07765	
1561	興部町	おこっぺちょう	興部町役場	098-1692	紋別郡興部町字興部710	0158-82-2131	数値地図	44.469874	143.123699	
1562	西興部村	にしおこっぺむら	西興部村役場	098-1501	紋別郡西興部村字西興部100	0158-87-2111	数値地図	44.328833	142.944445	
1563	雄武町	おうむちょう	雄武町役場	098-1792	紋別郡雄武町本町	0158-84-2121	数値地図	44.582482	142.961863	
1564	大空町	おおぞらちょう	大空町役場	099-2392	網走郡大空町女満別西3条4丁目1-1	0152-74-2111	数値地図	43.911858	144.172473	
1571	豊浦町	とようらちょう	豊浦町役場	049-5492	虻田郡豊浦町字船見町10	0142-83-2121	数値地図	42.583464	140.711815	
1575	壮瞥町	そうべつちょう	壮瞥町役場	052-0101	有珠郡壮瞥町字滝之町287-7	0142-66-2121	数値地図	42.552556	140.885472	
1578	白老町	しらおいちょう	白老町役場	059-0995	白老郡白老町大町1-1-1	0144-82-2121	数値地図	42.551259	141.355861	
1581	厚真町	あつまちょう	厚真町役場	059-1692	勇払郡厚真町京町120	0145-27-2321	数値地図	42.723566	141.877841	
1584	洞爺湖町	とうやこちょう	洞爺湖町役場	049-5692	虻田郡洞爺湖町栄町58	0142-76-2121	数値地図	42.551223	140.764128	
1585	安平町	あびらちょう	安平町役場	059-1595	勇払郡安平町早来大町95	0145-22-2511	数値地図	42.762798	141.818047	
1586	むかわ町	むかわちょう	むかわ町役場	054-8660	勇払郡むかわ町美幸2-88	0145-42-2411	数値地図	42.574741	141.926761	
1601	日高町	ひだかちょう	日高町役場	059-2192	沙流郡日高町門別本町210-1	01456-2-5131	数値地図	42.480318	142.074359	
1602	平取町	びらとりちょう	平取町役場	055-0192	沙流郡平取町本町28	01457-2-2221	数値地図	42.585098	142.128525	
1604	新冠町	にいかっぷちょう	新冠町役場	059-2492	新冠郡新冠町字北星町3-2	0146-47-2111	数値地図	42.362417	142.318315	
1607	浦河町	うらかわちょう	浦河町役場	057-8511	浦河郡浦河町築地1-3-1	0146-22-2311	数値地図	42.168355	142.768213	
1608	様似町	さまにちょう	様似町役場	058-8501	様似郡様似町大通1-21	0146-36-2111	数値地図	42.127737	142.933797	
1609	えりも町	えりもちょう	えりも町役場	058-0292	幌泉郡えりも町字本町206	01466-2-2111	数値地図	42.016298	143.148348	
1610	新ひだか町	しんひだかちょう	新ひだか町役場	056-8650	日高郡新ひだか町静内御幸町3丁目2-50	0146-43-2111	数値地図	42.341276	142.368588	
1631	音更町	おとふけちょう	音更町役場	080-0198	河東郡音更町元町2	0155-42-2111	数値地図	42.994115	143.197869	
1632	士幌町	しほろちょう	士幌町役場	080-1200	河東郡士幌町字士幌225	01564-5-2211	数値地図	43.168047	143.241344	
1633	上士幌町	かみしほろちょう	上士幌町役場	080-1492	河東郡上士幌町字上士幌東3線238	01564-2-2111	数値地図	43.232615	143.296243	
1634	鹿追町	しかおいちょう	鹿追町役場	081-0292	河東郡鹿追町東町1-15-1	0156-66-2311	数値地図	43.098876	142.989028	
1635	新得町	しんとくちょう	新得町役場	081-8501	上川郡新得町3条南4-26	0156-64-5111	数値地図	43.079741	142.838822	
1636	清水町	しみずちょう	清水町役場	089-0192	上川郡清水町南4条2-2	0156-62-2111	数値地図	43.011423	142.884568	
1637	芽室町	めむろちょう	芽室町役場	082-8651	河西郡芽室町東2条2-14	0155-62-9720	数値地図	42.91189	143.050807	
1638	中札内村	なかさつないむら	中札内村役場	089-1392	河西郡中札内村大通南2-3	0155-67-2311	数値地図	42.697611	143.132443	
1639	更別村	さらべつむら	更別村役場	089-1595	河西郡更別村字更別南1線93	0155-52-2111	数値地図	42.650415	143.187794	
1641	大樹町	たいきちょう	大樹町役場	089-2195	広尾郡大樹町東本通33	01558-6-2111	数値地図	42.497525	143.27891	
1642	広尾町	ひろおちょう	広尾町役場	089-2692	広尾郡広尾町西4条7-1	01558-2-2111	数値地図	42.285841	143.311498	
1643	幕別町	まくべつちょう	幕別町役場	089-0692	中川郡幕別町本町130-1	0155-54-2111	数値地図	42.908198	143.356085	
1644	池田町	いけだちょう	池田町役場	083-8650	中川郡池田町西1条7-11	015-572-3111	数値地図	42.92898	143.448472	
1645	豊頃町	とよころちょう	豊頃町役場	089-5392	中川郡豊頃町茂岩本町125	015-574-2211	数値地図	42.801023	143.5059	
1646	本別町	ほんべつちょう	本別町役場	089-3392	中川郡本別町北2-4-1	0156-22-2141	数値地図	43.124615	143.610962	
1647	足寄町	あしょろちょう	足寄町役場	089-3797	足寄郡足寄町北1条4-48-1	0156-25-2141	数値地図	43.244786	143.55393	
1648	陸別町	りくべつちょう	陸別町役場	089-4311	足寄郡陸別町字陸別東1条3-1	0156-27-2141	数値地図	43.468914	143.747305	
1649	浦幌町	うらほろちょう	浦幌町役場	089-5692	十勝郡浦幌町字桜町15-6	015-576-2111	数値地図	42.808947	143.658581	
1661	釧路町	くしろちょう	釧路町役場	088-0692	釧路郡釧路町別保1-1	0154-62-2111	数値地図	42.996124	144.466081	
1662	厚岸町	あっけしちょう	厚岸町役場	088-1192	厚岸郡厚岸町真栄3丁目1番地	0153-52-3131	数値地図	43.051951	144.847443	
1663	浜中町	はまなかちょう	浜中町役場	088-1592	厚岸郡浜中町霧多布東4条1-35-1	0153-62-2111	数値地図	43.077087	145.129391	
1664	標茶町	しべちゃちょう	標茶町役場	088-2312	川上郡標茶町川上4-2	015-485-2111	数値地図	43.303337	144.600665	
1665	弟子屈町	てしかがちょう	弟子屈町役場	088-3292	川上郡弟子屈町中央2-3-1	015-482-2191	数値地図	43.485352	144.459223	
1667	鶴居村	つるいむら	鶴居村役場	085-1203	阿寒郡鶴居村鶴居西1-1	0154-64-2111	数値地図	43.23016	144.321165	
1668	白糠町	しらぬかちょう	白糠町役場	088-0392	白糠郡白糠町西1条南1-1-1	01547-2-2171	数値地図	42.956161	144.071805	
1691	別海町	べつかいちょう	別海町役場	086-0205	野付郡別海町別海常盤町280	0153-75-2111	数値地図	43.39399	145.117341	
1692	中標津町	なかしべつちょう	中標津町役場	086-1197	標津郡中標津町丸山2-22	0153-73-3111	数値地図	43.555191	144.971504	
1693	標津町	しべつちょう	標津町役場	086-1632	標津郡標津町北2条西1-1-3	0153-82-2131	数値地図	43.661309	145.131325	
1694	羅臼町	らうすちょう	羅臼町役場	086-1892	目梨郡羅臼町栄町100-83	0153-87-2111	数値地図	44.021953	145.189532	
2000	青森県	あおもりけん	青森県庁	030-8570	青森市長島1-1-1	017-722-1111	地理院地図	40.82444	140.740005	
2201	青森市	あおもりし	青森市役所	030-8555	青森市中央1-22-5	017-734-1111	数値地図	40.822358	140.74732	
2202	弘前市	ひろさきし	弘前市役所	036-8551	弘前市大字上白銀町1-1	0172-35-1111	数値地図	40.602965	140.464008	
2203	八戸市	はちのへし	八戸市役所	031-8686	八戸市内丸1-1-1	0178-43-2111	数値地図	40.512278	141.488404	
2204	黒石市	くろいしし	黒石市役所	036-0396	黒石市大字市ノ町11-1	0172-52-2111	数値地図	40.642608	140.594547	
2205	五所川原市	ごしょがわらし	五所川原市役所	037-8686	五所川原市字布屋町41-1	0173-35-2111	地理院地図	40.807835	140.446118	
2206	十和田市	とわだし	十和田市役所	034-8615	十和田市西十二番町6-1	0176-23-5111	数値地図	40.612703	141.20591	
2207	三沢市	みさわし	三沢市役所	033-8666	三沢市桜町1-1-38	0176-53-5111	数値地図	40.683078	141.369093	
2208	むつ市	むつし	むつ市役所	035-8686	むつ市中央1丁目8-1	0175-22-1111	数値地図	41.292835	141.183174	
2209	つがる市	つがるし	つがる市役所	038-3192	つがる市木造若緑61-1	0173-42-2111	数値地図	40.808836	140.380195	
2210	平川市	ひらかわし	平川市役所	036-0104	平川市柏木町藤山25-6	0172-44-1111	数値地図	40.584114	140.566506	
2301	平内町	ひらないまち	平内町役場	039-3393	東津軽郡平内町大字小湊字小湊63	017-755-2111	数値地図	40.926023	140.955884	
2303	今別町	いまべつまち	今別町役場	030-1502	東津軽郡今別町大字今別字今別167	0174-35-2001	数値地図	41.181875	140.48161	
2304	蓬田村	よもぎたむら	蓬田村役場	030-1211	東津軽郡蓬田村大字蓬田字汐越1-3	0174-27-2111	数値地図	40.971779	140.656053	
